,w_init,trajectory,loss
0,1.5697682873500367,"[-0.663823962379408, -0.7273179186551361, -0.8955834691026303, -1.164218334738362, -1.5878359573609673, -2.054455799685758, -0.6157181172764242, -0.6385366691098608, -0.6772092289850524, -0.7265108795054486, -0.8370325488342154, -1.0780514230593603, -1.7169714806920409, -2.115134165726811, -0.11752766426691942, 0.16685695867634998, 0.5694049435959059, 0.9814804877859975, 1.1619155959413152, 1.2350307747414169, 1.3335069628810703, 1.3731330540153304, 1.3984951572830475, 1.4203904597536259, 1.4297685648484177, 1.4469950153425029, 1.4533157323497214, 1.464175731193257, 1.477067908784093, 1.4870131878888095, 1.509799484956788, 1.5146288875671547, 1.5309387427087546, 1.5409924463247435, 1.5697682873500367]","[47.55963532620467, 63.46629392546729, 36.923510028473785, 23.317988199428108, 7.245321032323017, 16.2664001193445, 69.34247260353362, 47.29776401936931, 29.169039871593657, 42.8463715992578, 43.90516302825263, 46.032155718655005, 3.3330251321092867, 27.579322705529428, 32.86824874180993, 28.11644369807506, 19.025276087784942, 6.364070831309584, 2.3238429015597215, 2.5694907659538386, 1.3290036246630053, 1.3542112330934617, 1.4902943189751547, 0.8826542378328607, 1.4483503337522106, 0.939673988741127, 1.301781237964213, 1.2268065894930635, 1.4452742266278418, 1.455652768310542, 0.856682108620299, 1.0957283182775437, 0.9802236612871735, 1.4482713520401902]"
1,1.7650381486013738,"[1.7625959475372648, 1.76428058023035, 1.7650259461749491, 1.7648930541141281, 1.765672542867348, 1.7668060098286764, 1.7666495104746, 1.7668723774959783, 1.7664341465576945, 1.766210427293507, 1.7677676805536047, 1.7674957544937435, 1.7700993571158012, 1.769974271888387, 1.7689997606884338, 1.7700253935624923, 1.7702505630151748, 1.7704708590706106, 1.7714254633971107, 1.769535168047986, 1.769796874015408, 1.7705023321918443, 1.771095218411748, 1.7708176341507453, 1.770710455400202, 1.7683152376329692, 1.7681127906378837, 1.7687196351260297, 1.7686801705065343, 1.7691396300538078, 1.769313470166023, 1.770375226422666, 1.767529131444668, 1.7679677987133084, 1.7650381486013738]","[1.1053595763140394, 1.5332555516275155, 0.5898487650725613, 0.8207640119719379, 1.4817014794342631, 1.039679869352839, 1.1787746981440856, 1.099729816064732, 0.7727945981834378, 1.0099184580194245, 1.1071504741554459, 0.7777264987571029, 0.9654390548519423, 0.9241605815233283, 0.760587031931835, 0.6079242481886147, 1.2029455591492664, 0.9506598405181227, 1.0350966036049243, 0.6380970493898022, 1.1677143310882925, 0.6920957841825354, 1.25006686969787, 0.9774011570831159, 1.2448387284488915, 0.6113739105328987, 1.0542164682551465, 1.371471831161333, 0.7236441476121054, 1.0897933521394807, 1.2402713928055988, 1.4252540987773863, 0.8406630074058071, 2.35346896219848]"
2,,"[-3.999085001461241, 108.39854476965219, -777134534.8860949, 1.559511166380639e+43, -5.297450056321068e+214, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[7011.512449700467, 1395891086525.3376, 2.0199166431176596e+53, 1.3769054193627417e+259, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3,1.5757369734327211,"[-1.5813394189452818, -1.9760740898474147, -1.268510763500184, -1.8174245388368642, -1.7037305489720125, -2.053595649041634, -1.1333585019691375, -1.648967404775543, -1.9640622253257616, -1.5334254553033113, -2.248144752859352, -0.2145982576273821, 0.09312472027116075, 0.7345323214398494, 1.02088568452807, 1.1620038009035458, 1.2521524716693724, 1.278046648825153, 1.3057690026370996, 1.355524736576935, 1.3957223809615922, 1.434268537346993, 1.4669091604143514, 1.4816897861888825, 1.4852327327866035, 1.507623358089847, 1.5188793577845623, 1.5361821598810736, 1.5366495261601658, 1.5445917491195493, 1.5531338296568726, 1.5699229243460855, 1.573538631854748, 1.5801088749711663, 1.5757369734327211]","[5.96811538499471, 7.006467865032142, 22.60614992226953, 1.0137427126316931, 2.679323006855736, 11.156919180450881, 32.86737813404936, 3.885317571769255, 3.8192800539608105, 13.419919195833101, 38.465653062648265, 45.192998681467955, 50.604554101490606, 10.09627265594336, 4.450735046671867, 2.6003324398703547, 1.6676631153255697, 1.3037444680784238, 1.5820119708351739, 1.4413663204865939, 1.450305959814184, 1.4380748073275573, 1.1290439483742276, 0.7709345791997042, 1.1819876352416325, 0.708219174210151, 1.3118255626693482, 1.1726856093841127, 1.5831294079166487, 0.7030679099955746, 1.2345497429996404, 0.8341639606698272, 1.065810151104324, 0.4159359683327737]"
4,,"[-2.8259528734630956, 10.94549695438157, -8964.0329842342, 4.066350019475212e+18, -4.6383850679853196e+91, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[491.3657817795276, 1510389.1980465439, 6.075555700583088e+23, 3.14354953525594e+111, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
5,,"[-3.2612912418496176, 24.09126742101315, -674420.0265516802, 9.913593373066377e+27, -3.4500753682734976e+138, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[1273.7908843273037, 262752250.39712062, 1.1143219756666122e+35, 5.700440717915947e+167, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
6,,"[-2.5099183089786328, 7.099463150878852, -685.9712203647846, 8418720977348.749, -2.4095162808303274e+63, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[255.84716746882955, 70845.8313023312, 9.633360264039746e+16, 3.380840876448028e+77, inf, inf, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
7,1.6182954739062152,"[-1.235514183655618, -1.9490194621060297, -1.4991090938987635, -1.997906590488479, -1.354942643140951, -2.114155118134416, 0.2000715233507413, 0.5098443687529329, 0.768602088765688, 1.0731626294222658, 1.2223334938688704, 1.2842330488364861, 1.31491614498881, 1.3536614000474525, 1.401849176882304, 1.4231442248635424, 1.4474486242767592, 1.4766751186688818, 1.4710709045134547, 1.4724572995124117, 1.5018478895295841, 1.5167280026797312, 1.5296375677843395, 1.551151210742782, 1.5543450586968748, 1.565150927771935, 1.5747405550961828, 1.5754339474246748, 1.587085455368388, 1.5878293267433399, 1.5928987707086155, 1.6005823630142166, 1.608019312495392, 1.610979439731547, 1.6182954739062152]","[33.25318388499222, 4.3605912550912045, 9.961616132927247, 6.437154385091298, 23.191895860084742, 34.34184201420099, 22.104037072548635, 11.89701731622218, 11.555718731519242, 4.8576984972579975, 1.8109998784000747, 1.8517406882086085, 1.8166487448452007, 2.0609421333768347, 1.3764764800992078, 1.0327661204241256, 1.6766562885620757, 0.7745508883862762, 0.9564083772266936, 1.430283813391891, 0.9521681289293089, 1.0209770809423133, 1.011648221594099, 0.8888762428599082, 1.2220822839985863, 0.8393556932648736, 0.9395169042989109, 1.4775723099938427, 1.2865465026232117, 1.124756327777408, 1.2421268899948297, 0.8396429609119911, 0.6497792135068167, 0.9003398467139334]"
8,1.6120913071687344,"[-0.8258602061546405, -1.1469314419655208, -1.6518727545306569, -2.2251390606990804, 0.2659160622174586, 0.8041344342856368, 1.0266829128686057, 1.1342838711575793, 1.2270469073141281, 1.3308613666267912, 1.373226399829656, 1.4077382296983547, 1.4218953425187106, 1.4464481386367811, 1.4550739811096336, 1.458521093515058, 1.4702466544230848, 1.4850585602605193, 1.49287965116229, 1.5152512560132227, 1.5242877127952557, 1.5316159630227653, 1.5329448969421433, 1.5390411705683862, 1.5457680958427882, 1.5617178317670264, 1.5754735762550933, 1.5720232650686703, 1.5670156371512296, 1.5709648548745905, 1.5800168000266122, 1.5858624513920072, 1.590378605289109, 1.5902197362102102, 1.6120913071687344]","[64.01086667788383, 30.16690024334544, 5.952870946443315, 43.498263707733074, 35.5756243090491, 8.157031098389576, 2.850872799608742, 2.5267506130625255, 2.3714338036697646, 1.816224794391268, 1.0542677936767932, 1.1670938458469757, 1.2746952461575611, 1.51919330399648, 1.209868183485479, 1.2847505064156626, 1.1729858393536623, 0.9736137131561478, 1.4598672439931215, 0.9542471696291389, 1.1123724295316415, 1.0631856863277944, 1.2987002340280562, 0.5530367483720665, 1.332469774226396, 1.2597063676933673, 1.219351810267295, 1.0528187620576233, 0.7495908397444769, 0.8730894398088727, 1.207851238745662, 0.9583137336356681, 1.2424057451565347, 1.6915202178706619]"
9,1.643764295239433,"[0.31053387202685556, 0.5413581073761051, 0.9254094711220644, 1.144839741075479, 1.2344065795944845, 1.3065169301611068, 1.3912868999286916, 1.4193699306191327, 1.4395434218753882, 1.4567960285685009, 1.4730046693529142, 1.4832292720758145, 1.49274125341302, 1.5177809584191044, 1.516030373188336, 1.5232452544278414, 1.5242815590124443, 1.5256941277877436, 1.5333834528667658, 1.544941637399767, 1.5464504183362326, 1.5506091210892214, 1.5659161870132416, 1.5733810475245549, 1.5838766218642546, 1.5830375318112986, 1.5914220226592106, 1.5919034458162418, 1.6015492193609817, 1.6075034837664313, 1.6166106384266665, 1.6241148418705, 1.6231016348505003, 1.6267034866144054, 1.643764295239433]","[14.916156128996844, 15.713037559658027, 6.421719003968399, 3.1225741942733554, 1.7972386671847045, 2.9362810407589253, 1.351881406216106, 1.4770912699612957, 1.3046982142293977, 1.0649518754170826, 1.1161315191810393, 0.9590869547943164, 1.0924965876030694, 1.23440973179876, 1.1534754460293506, 1.1431912648477993, 1.3378953226088253, 0.8004643508397001, 0.9083231157430585, 0.9088817028721102, 0.8702006559908025, 1.6424209704404749, 0.8684423733773521, 0.670815396495276, 0.9145959705467327, 1.5404220147768826, 1.0113883226628078, 1.0855186457422938, 0.8070084295834173, 0.7110036371980709, 1.1679421135279602, 1.38130367286941, 1.0951330219666533, 1.3964573648907987]"
